########## WARNING SNAPSHOT ##########
==================== THREAD LEAK MAINTENANCE ====================
level=WARNING
---- [1] process basic info ----
processName=thread_victim
bundleName=unknown
pid=2231
uid=0
threadCount=2101
appState=unknown
---- [2] hidumper thread maintenance (-p 2231 --thread) ----
Thread num: 2101
Top 10 Thread Names:
1	TL_Anim_0
1	TL_Anim_1
1	TL_Anim_10
1	TL_Anim_100
1	TL_Anim_101
1	TL_Anim_102
1	TL_Anim_103
1	TL_Anim_104
1	TL_Anim_11
1	TL_Anim_12

---- [3] per-thread run state and cpu run time ----
thread_total=2101
tid	state	cpuUsage	cpuLoad	name
2580	S	0	0	TL_IPC_17
2581	S	0	0	TL_DB_17
2582	S	0	0	TL_Cache_17
2583	S	0	0	TL_Sensor_17
2584	S	0	0	TL_Anim_17
2585	S	0	0	TL_Upload_17
2586	S	0	0	TL_Download_17
2587	S	0	0	TL_Parser_17
2588	S	0	0	TL_Watchdog_17
2589	S	0	0	TL_Event_17
2590	S	0	0	TL_Sync_17
2591	S	0	0	TL_Log_17
2592	S	0	0	TL_Worker_18
2593	S	0	0	TL_IO_18
2594	S	0	0	TL_Net_18
2595	S	0	0	TL_Render_18
2596	S	0	0	TL_Audio_18
2597	S	0	0	TL_Codec_18
2598	S	0	0	TL_GC_18
2599	S	0	0	TL_Timer_18
2600	S	0	0	TL_IPC_18
2601	S	0	0	TL_DB_18
2602	S	0	0	TL_Cache_18
2603	S	0	0	TL_Sensor_18
2604	S	0	0	TL_Anim_18
2605	S	0	0	TL_Upload_18
2606	S	0	0	TL_Download_18
2607	S	0	0	TL_Parser_18
2608	S	0	0	TL_Watchdog_18
2609	S	0	0	TL_Event_18
2610	S	0	0	TL_Sync_18
2611	S	0	0	TL_Log_18
2612	S	0	0	TL_Worker_19
2613	S	0	0	TL_IO_19
2614	S	0	0	TL_Net_19
2615	S	0	0	TL_Render_19
2616	S	0	0	TL_Audio_19
2617	S	0	0	TL_Codec_19
2618	S	0	0	TL_GC_19
2619	S	0	0	TL_Timer_19
2620	S	0	0	TL_IPC_19
2621	S	0	0	TL_DB_19
2622	S	0	0	TL_Cache_19
2623	S	0	0	TL_Sensor_19
2624	S	0	0	TL_Anim_19
2625	S	0	0	TL_Upload_19
2626	S	0	0	TL_Download_19
2627	S	0	0	TL_Parser_19
2628	S	0	0	TL_Watchdog_19
2629	S	0	0	TL_Event_19
2630	S	0	0	TL_Sync_19
2631	S	0	0	TL_Log_19
2632	S	0	0	TL_Worker_20
2633	S	0	0	TL_IO_20
2634	S	0	0	TL_Net_20
2635	S	0	0	TL_Render_20
2636	S	0	0	TL_Audio_20
2637	S	0	0	TL_Codec_20
2638	S	0	0	TL_GC_20
2639	S	0	0	TL_Timer_20
2640	S	0	0	TL_IPC_20
2641	S	0	0	TL_DB_20
2642	S	0	0	TL_Cache_20
2643	S	0	0	TL_Sensor_20
2644	S	0	0	TL_Anim_20
2645	S	0	0	TL_Upload_20
2646	S	0	0	TL_Download_20
2647	S	0	0	TL_Parser_20
2648	S	0	0	TL_Watchdog_20
2649	S	0	0	TL_Event_20
2650	S	0	0	TL_Sync_20
2651	S	0	0	TL_Log_20
2652	S	0	0	TL_Worker_21
2653	S	0	0	TL_IO_21
2654	S	0	0	TL_Net_21
2655	S	0	0	TL_Render_21
2656	S	0	0	TL_Audio_21
2657	S	0	0	TL_Codec_21
2658	S	0	0	TL_GC_21
2659	S	0	0	TL_Timer_21
2660	S	0	0	TL_IPC_21
2661	S	0	0	TL_DB_21
2662	S	0	0	TL_Cache_21
2663	S	0	0	TL_Sensor_21
2664	S	0	0	TL_Anim_21
2665	S	0	0	TL_Upload_21
2666	S	0	0	TL_Download_21
2667	S	0	0	TL_Parser_21
2668	S	0	0	TL_Watchdog_21
2669	S	0	0	TL_Event_21
2670	S	0	0	TL_Sync_21
2671	S	0	0	TL_Log_21
2672	S	0	0	TL_Worker_22
2673	S	0	0	TL_IO_22
2674	S	0	0	TL_Net_22
2675	S	0	0	TL_Render_22
2676	S	0	0	TL_Audio_22
2677	S	0	0	TL_Codec_22
2678	S	0	0	TL_GC_22
2679	S	0	0	TL_Timer_22
2680	S	0	0	TL_IPC_22
2681	S	0	0	TL_DB_22
2682	S	0	0	TL_Cache_22
2683	S	0	0	TL_Sensor_22
2684	S	0	0	TL_Anim_22
2685	S	0	0	TL_Upload_22
2686	S	0	0	TL_Download_22
2687	S	0	0	TL_Parser_22
2688	S	0	0	TL_Watchdog_22
2689	S	0	0	TL_Event_22
2690	S	0	0	TL_Sync_22
2691	S	0	0	TL_Log_22
2692	S	0	0	TL_Worker_23
2693	S	0	0	TL_IO_23
2694	S	0	0	TL_Net_23
2695	S	0	0	TL_Render_23
2696	S	0	0	TL_Audio_23
2697	S	0	0	TL_Codec_23
2698	S	0	0	TL_GC_23
