subsystem	path	repository	head	branch	changed_entries	component_count	literal_gn_target_count	coverage_status
multimedia	foundation/multimedia/media_library	multimedia_media_library	7ce41df7f9976a25944923b21de5d119a30dd7d3	DETACHED	0	1	446	component-and-targets
multimedia	foundation/multimedia/media_lite	multimedia_media_lite	d12b568dd4c7229d98d1bf1a93e210bd12cdca93	DETACHED	0	1	22	component-and-targets
multimedia	foundation/multimedia/media_utils_lite	multimedia_media_utils_lite	4e534766c33bdc459bdfe943bb000ccb683fd8f6	DETACHED	0	1	2	component-and-targets
multimedia	foundation/multimedia/midi_framework	multimedia_midi_framework	90a0fdb19a3280c27ce10c371db036ac5cae117c	DETACHED	0	1	31	component-and-targets
multimedia	foundation/multimedia/multimedia_cangjie_wrapper	multimedia_multimedia_cangjie_wrapper	e1ba182a79e113062ad69b6e70eb62d52785b9ea	DETACHED	0	1	10	component-and-targets
multimedia	foundation/multimedia/player_framework	multimedia_player_framework	75e90da17897a02d3fb1869e069954ceff0b800b	DETACHED	0	1	387	component-and-targets
multimedia	foundation/multimedia/ringtone_library	multimedia_ringtone_library	4e7728d4410157d5cf13c39525b6e82341f7e491	DETACHED	0	1	41	component-and-targets
multimedia	foundation/multimedia/video_processing_engine	multimedia_video_processing_engine	deaa904cbd471220e844db164a778ebab1eb8a9f	DETACHED	0	1	67	component-and-targets
multimodalinput	foundation/multimodalinput/input	multimodalinput_input	71a672a9024552817dd968b7965e796922aedaf5	DETACHED	0	1	1372	component-and-targets
officeservice	foundation/officeservice/object_editor	officeservice_object_editor	0e8d5c64903830080b271e380fae2420cf385df1	DETACHED	0	1	105	component-and-targets
resourceschedule	foundation/resourceschedule/background_task_mgr	resourceschedule_background_task_mgr	71f5c14db2d9402a93e872ba913206a2059399b1	DETACHED	0	1	99	component-and-targets
resourceschedule	foundation/resourceschedule/device_standby	resourceschedule_device_standby	6f6e27c9ac959b96836ef41550743122bdb203c3	DETACHED	0	1	53	component-and-targets
resourceschedule	foundation/resourceschedule/device_usage_statistics	resourceschedule_device_usage_statistics	f738c52aa4bfa604a9db1cd0bc527752364f6c26	DETACHED	0	1	64	component-and-targets
resourceschedule	foundation/resourceschedule/ffrt	resourceschedule_ffrt	51c24eae3e438363dbebda7d9554cad9fe839199	DETACHED	0	1	38	component-and-targets
resourceschedule	foundation/resourceschedule/frame_aware_sched	linux_frame_aware_sched	d92a0acbd92e7d8e9a64b4666e7f34afd5c10183	DETACHED	0	1	17	component-and-targets
resourceschedule	foundation/resourceschedule/memmgr	resourceschedule_memmgr	49628e3f2ddb679ef45f3428bf88375cb76189fc	DETACHED	0	1	32	component-and-targets
resourceschedule	foundation/resourceschedule/qos_manager	resourceschedule_qos_manager	650a008ae1242fa0f11543482245a2965013e08e	DETACHED	0	1	41	component-and-targets
resourceschedule	foundation/resourceschedule/resource_schedule_service	resourceschedule_resource_schedule_service	ef6e716e2f549e085c78c3fb9ef84844100e07ff	DETACHED	0	1	130	component-and-targets
resourceschedule	foundation/resourceschedule/soc_perf	resourceschedule_soc_perf	142d89b90d8acda93dc4c17904e9456340474d82	DETACHED	0	1	53	component-and-targets
resourceschedule	foundation/resourceschedule/work_scheduler	resourceschedule_work_scheduler	03d552a359ee0138bed395fa1aabd3c09e13add1	DETACHED	0	1	112	component-and-targets
systemabilitymgr	foundation/systemabilitymgr/safwk	systemabilitymgr_safwk	8f3b2d23ae75440989a26c752e25bf5349254895	DETACHED	0	1	61	component-and-targets
systemabilitymgr	foundation/systemabilitymgr/safwk_lite	systemabilitymgr_safwk_lite	1b620e12b05807deab59277ad8a2cb3163363243	DETACHED	0	1	2	component-and-targets
systemabilitymgr	foundation/systemabilitymgr/samgr	systemabilitymgr_samgr	778682c083c5c1e163c9639bed8bf994e98588b8	DETACHED	0	1	68	component-and-targets
systemabilitymgr	foundation/systemabilitymgr/samgr_lite	systemabilitymgr_samgr_lite	f870c3df41e5b9a01c3eeb30ab5588724ff5ab4b	DETACHED	0	1	29	component-and-targets
systemabilitymgr	foundation/systemabilitymgr/selectionfwk	systemabilitymgr_selectionfwk	0794bcce6396f4df87464521b3d2950bc7a09af7	DETACHED	0	1	61	component-and-targets
window	foundation/window/window_cangjie_wrapper	window_window_cangjie_wrapper	1697cbf538501e3dca16e6ca6a229639d77199dc	DETACHED	0	1	3	component-and-targets
window	foundation/window/window_manager	window_window_manager	3c793098cf7f7e0558cf0e72bb92a96718d763bd	DETACHED	0	1	988	component-and-targets
window	foundation/window/window_manager_lite	window_window_manager_lite	62b8cbc951418cc65e0e8a63a32561a9eee4f007	DETACHED	0	1	9	component-and-targets
