subsystem	component	repository_path	repository	bundle_path	rk3568_selected	adapted_system_types	component_dependency_count	third_party_dependency_count	declared_sub_component_count	inner_kit_count	declared_test_entry_count	gn_target_count	production_target_count	test_target_count	build_support_target_count	aggregate_codegen_target_count
filemanagement	dfs_service	foundation/filemanagement/dfs_service	filemanagement_dfs_service	foundation/filemanagement/dfs_service/bundle.json	yes	small,standard	46	0	0	13	4	429	54	316	48	11
filemanagement	disk_manager	foundation/filemanagement/disk_manager	filemanagement_disk_manager	foundation/filemanagement/disk_manager/bundle.json	yes	standard	22	0	0	1	1	51	12	27	7	5
filemanagement	file_api	foundation/filemanagement/file_api	filemanagement_file_api	foundation/filemanagement/file_api/bundle.json	yes	mini,small,standard	27	0	0	14	2	105	47	25	14	19
filemanagement	filemanagement_cangjie_wrapper	foundation/filemanagement/filemanagement_cangjie_wrapper	filemanagement_filemanagement_cangjie_wrapper	foundation/filemanagement/filemanagement_cangjie_wrapper/bundle.json	no	standard	4	0	4	2	0	5	4	0	0	1
filemanagement	storage_service	foundation/filemanagement/storage_service	filemanagement_storage_service	foundation/filemanagement/storage_service/bundle.json	yes	small,standard	55	0	0	4	5	689	44	612	22	11
filemanagement	user_file_service	foundation/filemanagement/user_file_service	filemanagement_user_file_service	foundation/filemanagement/user_file_service/bundle.json	yes	standard	31	0	0	4	2	146	32	95	7	12
graphic	graphic_2d	foundation/graphic/graphic_2d	graphic_graphic_2d	foundation/graphic/graphic_2d/bundle.json	yes	standard	61	1	0	33	13	2085	145	1670	221	49
graphic	graphic_3d	foundation/graphic/graphic_3d	graphic_graphic_3d	foundation/graphic/graphic_3d/bundle.json	yes	standard	31	0	22	9	17	230	78	77	61	14
graphic	graphic_cangjie_wrapper	foundation/graphic/graphic_cangjie_wrapper	graphic_graphic_cangjie_wrapper	foundation/graphic/graphic_cangjie_wrapper/bundle.json	no	standard	3	0	3	3	0	4	3	0	0	1
graphic	graphic_surface	foundation/graphic/graphic_surface	graphic_graphic_surface	foundation/graphic/graphic_surface/bundle.json	yes	standard	15	0	7	7	6	114	11	83	20	0
graphic	graphic_utils_lite	foundation/graphic/graphic_utils_lite	graphic_graphic_utils_lite	foundation/graphic/graphic_utils_lite/bundle.json	yes	mini,small	3	0	2	1	0	14	7	3	4	0
graphic	graphics_effect	foundation/graphic/graphics_effect	graphic_graphics_effect	foundation/graphic/graphics_effect/bundle.json	yes	standard	9	0	1	1	1	23	4	16	2	1
graphic	surface_lite	foundation/graphic/surface_lite	graphic_surface_lite	foundation/graphic/surface_lite/bundle.json	no	small	3	1	2	0	0	6	3	2	1	0
multimedia	audio_framework	foundation/multimedia/audio_framework	multimedia_audio_framework	foundation/multimedia/audio_framework/bundle.json	yes	standard	60	0	0	23	11	972	79	798	84	11
multimedia	audio_lite	foundation/multimedia/audio_lite	multimedia_audio_lite	foundation/multimedia/audio_lite/bundle.json	no	mini,small	0	1	1	0	0	7	3	2	2	0
multimedia	av_codec	foundation/multimedia/av_codec	multimedia_av_codec	foundation/multimedia/av_codec/bundle.json	yes	standard	47	0	0	21	5	1199	69	1003	119	8
multimedia	av_session	foundation/multimedia/av_session	multimedia_av_session	foundation/multimedia/av_session/bundle.json	yes	standard	39	0	0	5	13	221	37	145	8	31
multimedia	camera_framework	foundation/multimedia/camera_framework	multimedia_camera_framework	foundation/multimedia/camera_framework/bundle.json	yes	standard	51	0	0	10	2	310	44	234	24	8
multimedia	camera_lite	foundation/multimedia/camera_lite	multimedia_camera_lite	foundation/multimedia/camera_lite/bundle.json	no	mini,small	3	1	1	0	0	6	2	2	2	0
multimedia	drm_framework	foundation/multimedia/drm_framework	multimedia_drm_framework	foundation/multimedia/drm_framework/bundle.json	yes	standard	26	0	0	5	3	40	15	8	12	5
multimedia	image_effect	foundation/multimedia/image_effect	multimedia_image_effect	foundation/multimedia/image_effect/bundle.json	yes	standard	16	2	1	2	1	9	4	2	2	1
multimedia	image_framework	foundation/multimedia/image_framework	multimedia_image_framework	foundation/multimedia/image_framework/bundle.json	yes	standard	44	0	4	22	2	298	71	175	39	13
multimedia	media_foundation	foundation/multimedia/media_foundation	multimedia_media_foundation	foundation/multimedia/media_foundation/bundle.json	yes	mini,small,standard	30	1	3	9	3	217	103	46	28	40
multimedia	media_library	foundation/multimedia/media_library	multimedia_media_library	foundation/multimedia/media_library/bundle.json	yes	small,standard	72	0	0	13	2	446	61	343	18	24
multimedia	media_lite	foundation/multimedia/media_lite	multimedia_media_lite	foundation/multimedia/media_lite/bundle.json	no	mini,small	5	1	7	0	0	22	13	4	5	0
multimedia	media_utils_lite	foundation/multimedia/media_utils_lite	multimedia_media_utils_lite	foundation/multimedia/media_utils_lite/bundle.json	no	mini,small	0	0	0	1	0	2	1	0	1	0
multimedia	midi_framework	foundation/multimedia/midi_framework	multimedia_midi_framework	foundation/multimedia/midi_framework/bundle.json	yes	standard,small,mini	15	0	0	0	3	31	9	20	1	1
multimedia	multimedia_cangjie_wrapper	foundation/multimedia/multimedia_cangjie_wrapper	multimedia_multimedia_cangjie_wrapper	foundation/multimedia/multimedia_cangjie_wrapper/bundle.json	no	standard	11	0	9	3	0	10	9	0	0	1
multimedia	player_framework	foundation/multimedia/player_framework	multimedia_player_framework	foundation/multimedia/player_framework/bundle.json	yes	standard	68	1	0	14	2	387	75	237	57	18
multimedia	ringtone_library	foundation/multimedia/ringtone_library	multimedia_ringtone_library	foundation/multimedia/ringtone_library/bundle.json	yes	small,standard	28	0	0	2	1	41	12	24	3	2
multimedia	video_processing_engine	foundation/multimedia/video_processing_engine	multimedia_video_processing_engine	foundation/multimedia/video_processing_engine/bundle.json	yes	standard	24	0	4	7	4	67	21	30	7	9
multimodalinput	input	foundation/multimodalinput/input	multimodalinput_input	foundation/multimodalinput/input/bundle.json	yes	standard	52	4	0	20	1	1372	149	1062	106	55
officeservice	object_editor	foundation/officeservice/object_editor	officeservice_object_editor	foundation/officeservice/object_editor/bundle.json	yes	standard	25	0	0	0	1	105	10	74	20	1
resourceschedule	background_task_mgr	foundation/resourceschedule/background_task_mgr	resourceschedule_background_task_mgr	foundation/resourceschedule/background_task_mgr/bundle.json	yes	standard	32	0	0	2	1	99	22	64	4	9
resourceschedule	device_standby	foundation/resourceschedule/device_standby	resourceschedule_device_standby	foundation/resourceschedule/device_standby/bundle.json	yes	standard	29	0	0	5	6	53	18	22	7	6
resourceschedule	device_usage_statistics	foundation/resourceschedule/device_usage_statistics	resourceschedule_device_usage_statistics	foundation/resourceschedule/device_usage_statistics/bundle.json	yes	standard	24	0	0	2	2	64	17	31	11	5
resourceschedule	ffrt	foundation/resourceschedule/ffrt	resourceschedule_ffrt	foundation/resourceschedule/ffrt/bundle.json	yes	standard	6	0	2	1	1	38	3	31	3	1
