subsystem	component	part
thirdparty	abseil-cpp	thirdparty:abseil-cpp
thirdparty	alsa-lib	thirdparty:alsa-lib
thirdparty	astc-encoder	thirdparty:astc-encoder
thirdparty	backends	thirdparty:backends
thirdparty	bounds_checking_function	thirdparty:bounds_checking_function
thirdparty	brotli	thirdparty:brotli
thirdparty	bzip2	thirdparty:bzip2
thirdparty	cJSON	thirdparty:cJSON
thirdparty	cares	thirdparty:cares
thirdparty	cups	thirdparty:cups
thirdparty	cups-filters	thirdparty:cups-filters
thirdparty	curl	thirdparty:curl
thirdparty	dav1d	thirdparty:dav1d
thirdparty	decimal.js	thirdparty:decimal.js
thirdparty	e2fsprogs	thirdparty:e2fsprogs
